Batch size:  32
The number of training instances: 465367
2 GPUs are available. Let's use them.
Start training.
  0%|          | 0/10 [00:00<?, ?it/s]/root/miniconda3/envs/ET-BERT/lib/python3.10/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
Epoch id: 1, Training steps: 10200, Avg loss: 1.442
Epoch id: 1, Training steps: 10300, Avg loss: 1.442
Epoch id: 1, Training steps: 10400, Avg loss: 1.517
Epoch id: 1, Training steps: 10500, Avg loss: 1.406
Epoch id: 1, Training steps: 10600, Avg loss: 1.455
Epoch id: 1, Training steps: 10700, Avg loss: 1.356
Epoch id: 1, Training steps: 10800, Avg loss: 1.376
Epoch id: 1, Training steps: 10900, Avg loss: 1.409
Epoch id: 1, Training steps: 11000, Avg loss: 1.377
Epoch id: 1, Training steps: 11100, Avg loss: 1.379
Epoch id: 1, Training steps: 11200, Avg loss: 1.369
Epoch id: 1, Training steps: 11300, Avg loss: 1.330
Epoch id: 1, Training steps: 11400, Avg loss: 1.298
Epoch id: 1, Training steps: 11500, Avg loss: 1.283
Epoch id: 1, Training steps: 11600, Avg loss: 1.332
Epoch id: 1, Training steps: 11700, Avg loss: 1.279
Epoch id: 1, Training steps: 11800, Avg loss: 1.283
Epoch id: 1, Training steps: 11900, Avg loss: 1.271
Epoch id: 1, Training steps: 12000, Avg loss: 1.251
Epoch id: 1, Training steps: 12100, Avg loss: 1.255
Epoch id: 1, Training steps: 12200, Avg loss: 1.320
Epoch id: 1, Training steps: 12300, Avg loss: 1.312
Epoch id: 1, Training steps: 12400, Avg loss: 1.196
Epoch id: 1, Training steps: 12500, Avg loss: 1.258
Epoch id: 1, Training steps: 12600, Avg loss: 1.251
Epoch id: 1, Training steps: 12700, Avg loss: 1.237
Epoch id: 1, Training steps: 12800, Avg loss: 1.203
Epoch id: 1, Training steps: 12900, Avg loss: 1.175
Epoch id: 1, Training steps: 13000, Avg loss: 1.152
Epoch id: 1, Training steps: 13100, Avg loss: 1.181
Epoch id: 1, Training steps: 13200, Avg loss: 1.142
Epoch id: 1, Training steps: 13300, Avg loss: 1.124
Epoch id: 1, Training steps: 13400, Avg loss: 1.176
Epoch id: 1, Training steps: 13500, Avg loss: 1.154
Epoch id: 1, Training steps: 13600, Avg loss: 1.155
Epoch id: 1, Training steps: 13700, Avg loss: 1.126
Epoch id: 1, Training steps: 13800, Avg loss: 1.131
Epoch id: 1, Training steps: 13900, Avg loss: 1.081
Epoch id: 1, Training steps: 14000, Avg loss: 1.081
Epoch id: 1, Training steps: 14100, Avg loss: 1.104
Epoch id: 1, Training steps: 14200, Avg loss: 1.089
Epoch id: 1, Training steps: 14300, Avg loss: 1.111
Epoch id: 1, Training steps: 14400, Avg loss: 1.084
Epoch id: 1, Training steps: 14500, Avg loss: 1.068
Acc. (Correct/Total): 0.7577 (44074/58171) 
 10%|█         | 1/10 [1:37:09<14:34:24, 5829.37s/it]Epoch id: 2, Training steps: 100, Avg loss: 1.525
Epoch id: 2, Training steps: 200, Avg loss: 1.021
Epoch id: 2, Training steps: 300, Avg loss: 1.047
Epoch id: 2, Training steps: 400, Avg loss: 1.014
Epoch id: 2, Training steps: 500, Avg loss: 1.036
Epoch id: 2, Training steps: 600, Avg loss: 1.041
Epoch id: 2, Training steps: 700, Avg loss: 1.032
Epoch id: 2, Training steps: 800, Avg loss: 0.981
Epoch id: 2, Training steps: 900, Avg loss: 1.052
Epoch id: 2, Training steps: 1000, Avg loss: 1.042
Epoch id: 2, Training steps: 1100, Avg loss: 0.955
Epoch id: 2, Training steps: 1200, Avg loss: 0.954
Epoch id: 2, Training steps: 1300, Avg loss: 0.959
Epoch id: 2, Training steps: 1400, Avg loss: 0.935
Epoch id: 2, Training steps: 1500, Avg loss: 0.921
Epoch id: 2, Training steps: 1600, Avg loss: 0.913
Epoch id: 2, Training steps: 1700, Avg loss: 0.940
Epoch id: 2, Training steps: 1800, Avg loss: 0.939
Epoch id: 2, Training steps: 1900, Avg loss: 0.959
Epoch id: 2, Training steps: 2000, Avg loss: 0.925
Epoch id: 2, Training steps: 2100, Avg loss: 0.912
Epoch id: 2, Training steps: 2200, Avg loss: 0.921
Epoch id: 2, Training steps: 2300, Avg loss: 0.897
Epoch id: 2, Training steps: 2400, Avg loss: 0.991
Epoch id: 2, Training steps: 2500, Avg loss: 0.855
Epoch id: 2, Training steps: 2600, Avg loss: 0.906
Epoch id: 2, Training steps: 2700, Avg loss: 0.930
Epoch id: 2, Training steps: 2800, Avg loss: 0.865
Epoch id: 2, Training steps: 2900, Avg loss: 0.876
Epoch id: 2, Training steps: 3000, Avg loss: 0.880
Epoch id: 2, Training steps: 3100, Avg loss: 0.844
Epoch id: 2, Training steps: 3200, Avg loss: 0.844
Epoch id: 2, Training steps: 3300, Avg loss: 0.852
Epoch id: 2, Training steps: 3400, Avg loss: 0.830
Epoch id: 2, Training steps: 3500, Avg loss: 0.828
Epoch id: 2, Training steps: 3600, Avg loss: 0.883
Epoch id: 2, Training steps: 3700, Avg loss: 0.842
Epoch id: 2, Training steps: 3800, Avg loss: 0.854
Epoch id: 2, Training steps: 3900, Avg loss: 0.811
Epoch id: 2, Training steps: 4000, Avg loss: 0.824
Epoch id: 2, Training steps: 4100, Avg loss: 0.819
Epoch id: 2, Training steps: 4200, Avg loss: 0.839
Epoch id: 2, Training steps: 4300, Avg loss: 0.771
Epoch id: 2, Training steps: 4400, Avg loss: 0.789
Epoch id: 2, Training steps: 4500, Avg loss: 0.823
Epoch id: 2, Training steps: 4600, Avg loss: 0.754
Epoch id: 2, Training steps: 4700, Avg loss: 0.772
Epoch id: 2, Training steps: 4800, Avg loss: 0.773
Epoch id: 2, Training steps: 4900, Avg loss: 0.772
Epoch id: 2, Training steps: 5000, Avg loss: 0.795
Epoch id: 2, Training steps: 5100, Avg loss: 0.783
Epoch id: 2, Training steps: 5200, Avg loss: 0.782
Epoch id: 2, Training steps: 5300, Avg loss: 0.778
Epoch id: 2, Training steps: 5400, Avg loss: 0.744
Epoch id: 2, Training steps: 5500, Avg loss: 0.719
Epoch id: 2, Training steps: 5600, Avg loss: 0.793
Epoch id: 2, Training steps: 5700, Avg loss: 0.747
Epoch id: 2, Training steps: 5800, Avg loss: 0.762
Epoch id: 2, Training steps: 5900, Avg loss: 0.746
Epoch id: 2, Training steps: 6000, Avg loss: 0.738
Epoch id: 2, Training steps: 6100, Avg loss: 0.766
Epoch id: 2, Training steps: 6200, Avg loss: 0.733
Epoch id: 2, Training steps: 6300, Avg loss: 0.722
Epoch id: 2, Training steps: 6400, Avg loss: 0.724
Epoch id: 2, Training steps: 6500, Avg loss: 0.689
Epoch id: 2, Training steps: 6600, Avg loss: 0.666
Epoch id: 2, Training steps: 6700, Avg loss: 0.684
Epoch id: 2, Training steps: 6800, Avg loss: 0.731
Epoch id: 2, Training steps: 6900, Avg loss: 0.732
Epoch id: 2, Training steps: 7000, Avg loss: 0.726
Epoch id: 2, Training steps: 7100, Avg loss: 0.699
Epoch id: 2, Training steps: 7200, Avg loss: 0.703
Epoch id: 2, Training steps: 7300, Avg loss: 0.673
Epoch id: 2, Training steps: 7400, Avg loss: 0.726
Epoch id: 2, Training steps: 7500, Avg loss: 0.667
Epoch id: 2, Training steps: 7600, Avg loss: 0.690
Epoch id: 2, Training steps: 7700, Avg loss: 0.660
Epoch id: 2, Training steps: 7800, Avg loss: 0.679
Epoch id: 2, Training steps: 7900, Avg loss: 0.613
Epoch id: 2, Training steps: 8000, Avg loss: 0.683
Epoch id: 2, Training steps: 8100, Avg loss: 0.680
Epoch id: 2, Training steps: 8200, Avg loss: 0.645
Epoch id: 2, Training steps: 8300, Avg loss: 0.666
Epoch id: 2, Training steps: 8400, Avg loss: 0.652
Epoch id: 2, Training steps: 8500, Avg loss: 0.606
Epoch id: 2, Training steps: 8600, Avg loss: 0.651
Epoch id: 2, Training steps: 8700, Avg loss: 0.655
Epoch id: 2, Training steps: 8800, Avg loss: 0.638
Epoch id: 2, Training steps: 8900, Avg loss: 0.652
Epoch id: 2, Training steps: 9000, Avg loss: 0.633
Epoch id: 2, Training steps: 9100, Avg loss: 0.653
Epoch id: 2, Training steps: 9200, Avg loss: 0.626
Epoch id: 2, Training steps: 9300, Avg loss: 0.617
Epoch id: 2, Training steps: 9400, Avg loss: 0.595
Epoch id: 2, Training steps: 9500, Avg loss: 0.595
Epoch id: 2, Training steps: 9600, Avg loss: 0.615
Epoch id: 2, Training steps: 9700, Avg loss: 0.597
Epoch id: 2, Training steps: 9800, Avg loss: 0.583
Epoch id: 2, Training steps: 9900, Avg loss: 0.577
Epoch id: 2, Training steps: 10000, Avg loss: 0.624
Epoch id: 2, Training steps: 10100, Avg loss: 0.578
Epoch id: 2, Training steps: 10200, Avg loss: 0.536
Epoch id: 2, Training steps: 10300, Avg loss: 0.547
Epoch id: 2, Training steps: 10400, Avg loss: 0.622
Epoch id: 2, Training steps: 10500, Avg loss: 0.564
Epoch id: 2, Training steps: 10600, Avg loss: 0.590
Epoch id: 2, Training steps: 10700, Avg loss: 0.564
Epoch id: 2, Training steps: 10800, Avg loss: 0.530
Epoch id: 2, Training steps: 10900, Avg loss: 0.567
Epoch id: 2, Training steps: 11000, Avg loss: 0.587
Epoch id: 2, Training steps: 11100, Avg loss: 0.544
Epoch id: 2, Training steps: 11200, Avg loss: 0.588
Epoch id: 2, Training steps: 11300, Avg loss: 0.543
Epoch id: 2, Training steps: 11400, Avg loss: 0.529
Epoch id: 2, Training steps: 11500, Avg loss: 0.519
Epoch id: 2, Training steps: 11600, Avg loss: 0.562
Epoch id: 2, Training steps: 11700, Avg loss: 0.531
Epoch id: 2, Training steps: 11800, Avg loss: 0.516
Epoch id: 2, Training steps: 11900, Avg loss: 0.544
Epoch id: 2, Training steps: 12000, Avg loss: 0.502
Epoch id: 2, Training steps: 12100, Avg loss: 0.532
Epoch id: 2, Training steps: 12200, Avg loss: 0.552
Epoch id: 2, Training steps: 12300, Avg loss: 0.556
Epoch id: 2, Training steps: 12400, Avg loss: 0.514
Epoch id: 2, Training steps: 12500, Avg loss: 0.537
Epoch id: 2, Training steps: 12600, Avg loss: 0.526
Epoch id: 2, Training steps: 12700, Avg loss: 0.537
Epoch id: 2, Training steps: 12800, Avg loss: 0.512
Epoch id: 2, Training steps: 12900, Avg loss: 0.509
Epoch id: 2, Training steps: 13000, Avg loss: 0.490
Epoch id: 2, Training steps: 13100, Avg loss: 0.516
Epoch id: 2, Training steps: 13200, Avg loss: 0.455
Epoch id: 2, Training steps: 13300, Avg loss: 0.459
Epoch id: 2, Training steps: 13400, Avg loss: 0.484
Epoch id: 2, Training steps: 13500, Avg loss: 0.499
Epoch id: 2, Training steps: 13600, Avg loss: 0.507
Epoch id: 2, Training steps: 13700, Avg loss: 0.459
Epoch id: 2, Training steps: 13800, Avg loss: 0.486
Epoch id: 2, Training steps: 13900, Avg loss: 0.465
Epoch id: 2, Training steps: 14000, Avg loss: 0.446
Epoch id: 2, Training steps: 14100, Avg loss: 0.493
Epoch id: 2, Training steps: 14200, Avg loss: 0.448
Epoch id: 2, Training steps: 14300, Avg loss: 0.490
Epoch id: 2, Training steps: 14400, Avg loss: 0.485
Epoch id: 2, Training steps: 14500, Avg loss: 0.472
Acc. (Correct/Total): 0.8846 (51460/58171) 
 20%|██        | 2/10 [3:14:17<12:57:10, 5828.78s/it]Epoch id: 3, Training steps: 100, Avg loss: 0.665
Epoch id: 3, Training steps: 200, Avg loss: 0.433
Epoch id: 3, Training steps: 300, Avg loss: 0.461
Epoch id: 3, Training steps: 400, Avg loss: 0.443
Epoch id: 3, Training steps: 500, Avg loss: 0.488
Epoch id: 3, Training steps: 600, Avg loss: 0.445
Epoch id: 3, Training steps: 700, Avg loss: 0.447
Epoch id: 3, Training steps: 800, Avg loss: 0.430
Epoch id: 3, Training steps: 900, Avg loss: 0.478
Epoch id: 3, Training steps: 1000, Avg loss: 0.452
Epoch id: 3, Training steps: 1100, Avg loss: 0.392
Epoch id: 3, Training steps: 1200, Avg loss: 0.422
Epoch id: 3, Training steps: 1300, Avg loss: 0.434
Epoch id: 3, Training steps: 1400, Avg loss: 0.412
Epoch id: 3, Training steps: 1500, Avg loss: 0.413
Epoch id: 3, Training steps: 1600, Avg loss: 0.400
Epoch id: 3, Training steps: 1700, Avg loss: 0.412
Epoch id: 3, Training steps: 1800, Avg loss: 0.410
Epoch id: 3, Training steps: 1900, Avg loss: 0.430
Epoch id: 3, Training steps: 2000, Avg loss: 0.410
Epoch id: 3, Training steps: 2100, Avg loss: 0.419
Epoch id: 3, Training steps: 2200, Avg loss: 0.395
Epoch id: 3, Training steps: 2300, Avg loss: 0.426
Epoch id: 3, Training steps: 2400, Avg loss: 0.442
Epoch id: 3, Training steps: 2500, Avg loss: 0.391
Epoch id: 3, Training steps: 2600, Avg loss: 0.425
Epoch id: 3, Training steps: 2700, Avg loss: 0.422
Epoch id: 3, Training steps: 2800, Avg loss: 0.404
Epoch id: 3, Training steps: 2900, Avg loss: 0.384
Epoch id: 3, Training steps: 3000, Avg loss: 0.416
Epoch id: 3, Training steps: 3100, Avg loss: 0.396
Epoch id: 3, Training steps: 3200, Avg loss: 0.382
Epoch id: 3, Training steps: 3300, Avg loss: 0.388
Epoch id: 3, Training steps: 3400, Avg loss: 0.370
Epoch id: 3, Training steps: 3500, Avg loss: 0.377
Epoch id: 3, Training steps: 3600, Avg loss: 0.389
Epoch id: 3, Training steps: 3700, Avg loss: 0.368
Epoch id: 3, Training steps: 3800, Avg loss: 0.420
Epoch id: 3, Training steps: 3900, Avg loss: 0.355
Epoch id: 3, Training steps: 4000, Avg loss: 0.390
Epoch id: 3, Training steps: 4100, Avg loss: 0.395
Epoch id: 3, Training steps: 4200, Avg loss: 0.370
Epoch id: 3, Training steps: 4300, Avg loss: 0.351
Epoch id: 3, Training steps: 4400, Avg loss: 0.343
Epoch id: 3, Training steps: 4500, Avg loss: 0.375
Epoch id: 3, Training steps: 4600, Avg loss: 0.350
Epoch id: 3, Training steps: 4700, Avg loss: 0.346
Epoch id: 3, Training steps: 4800, Avg loss: 0.362
Epoch id: 3, Training steps: 4900, Avg loss: 0.361
Epoch id: 3, Training steps: 5000, Avg loss: 0.368
Epoch id: 3, Training steps: 5100, Avg loss: 0.369
Epoch id: 3, Training steps: 5200, Avg loss: 0.353
Epoch id: 3, Training steps: 5300, Avg loss: 0.356
Epoch id: 3, Training steps: 5400, Avg loss: 0.323
Epoch id: 3, Training steps: 5500, Avg loss: 0.320
Epoch id: 3, Training steps: 5600, Avg loss: 0.353
Epoch id: 3, Training steps: 5700, Avg loss: 0.346
Epoch id: 3, Training steps: 5800, Avg loss: 0.355
Epoch id: 3, Training steps: 5900, Avg loss: 0.334
Epoch id: 3, Training steps: 6000, Avg loss: 0.353
Epoch id: 3, Training steps: 6100, Avg loss: 0.355
Epoch id: 3, Training steps: 6200, Avg loss: 0.351
Epoch id: 3, Training steps: 6300, Avg loss: 0.326
Epoch id: 3, Training steps: 6400, Avg loss: 0.333
Epoch id: 3, Training steps: 6500, Avg loss: 0.315
Epoch id: 3, Training steps: 6600, Avg loss: 0.300
Epoch id: 3, Training steps: 6700, Avg loss: 0.312
Epoch id: 3, Training steps: 6800, Avg loss: 0.363
Epoch id: 3, Training steps: 6900, Avg loss: 0.374
Epoch id: 3, Training steps: 7000, Avg loss: 0.331
Epoch id: 3, Training steps: 7100, Avg loss: 0.323
Epoch id: 3, Training steps: 7200, Avg loss: 0.347
Epoch id: 3, Training steps: 7300, Avg loss: 0.312
Epoch id: 3, Training steps: 7400, Avg loss: 0.361
Epoch id: 3, Training steps: 7500, Avg loss: 0.316
Epoch id: 3, Training steps: 7600, Avg loss: 0.338
Epoch id: 3, Training steps: 7700, Avg loss: 0.302
Epoch id: 3, Training steps: 7800, Avg loss: 0.306
Epoch id: 3, Training steps: 7900, Avg loss: 0.279
Epoch id: 3, Training steps: 8000, Avg loss: 0.330
Epoch id: 3, Training steps: 8100, Avg loss: 0.322
Epoch id: 3, Training steps: 8200, Avg loss: 0.303
Epoch id: 3, Training steps: 8300, Avg loss: 0.331
Epoch id: 3, Training steps: 8400, Avg loss: 0.310
Epoch id: 3, Training steps: 8500, Avg loss: 0.284
Epoch id: 3, Training steps: 8600, Avg loss: 0.302
Epoch id: 3, Training steps: 8700, Avg loss: 0.306
Epoch id: 3, Training steps: 8800, Avg loss: 0.313
Epoch id: 3, Training steps: 8900, Avg loss: 0.322
Epoch id: 3, Training steps: 9000, Avg loss: 0.298
Epoch id: 3, Training steps: 9100, Avg loss: 0.317
Epoch id: 3, Training steps: 9200, Avg loss: 0.292
Epoch id: 3, Training steps: 9300, Avg loss: 0.303
Epoch id: 3, Training steps: 9400, Avg loss: 0.283
Epoch id: 3, Training steps: 9500, Avg loss: 0.276
Epoch id: 3, Training steps: 9600, Avg loss: 0.305
Epoch id: 3, Training steps: 9700, Avg loss: 0.281
Epoch id: 3, Training steps: 9800, Avg loss: 0.266
Epoch id: 3, Training steps: 9900, Avg loss: 0.271
Epoch id: 3, Training steps: 10000, Avg loss: 0.298
Epoch id: 3, Training steps: 10100, Avg loss: 0.260
Epoch id: 3, Training steps: 10200, Avg loss: 0.244
Epoch id: 3, Training steps: 10300, Avg loss: 0.248
Epoch id: 3, Training steps: 10400, Avg loss: 0.288
Epoch id: 3, Training steps: 10500, Avg loss: 0.267
Epoch id: 3, Training steps: 10600, Avg loss: 0.302
Epoch id: 3, Training steps: 10700, Avg loss: 0.273
Epoch id: 3, Training steps: 10800, Avg loss: 0.241
Epoch id: 3, Training steps: 10900, Avg loss: 0.265
Epoch id: 3, Training steps: 11000, Avg loss: 0.293
Epoch id: 3, Training steps: 11100, Avg loss: 0.252
Epoch id: 3, Training steps: 11200, Avg loss: 0.294
Epoch id: 3, Training steps: 11300, Avg loss: 0.251
Epoch id: 3, Training steps: 11400, Avg loss: 0.255
Epoch id: 3, Training steps: 11500, Avg loss: 0.253
Epoch id: 3, Training steps: 11600, Avg loss: 0.273
Epoch id: 3, Training steps: 11700, Avg loss: 0.245
Epoch id: 3, Training steps: 11800, Avg loss: 0.225
Epoch id: 3, Training steps: 11900, Avg loss: 0.240
Epoch id: 3, Training steps: 12000, Avg loss: 0.233
Epoch id: 3, Training steps: 12100, Avg loss: 0.262
Epoch id: 3, Training steps: 12200, Avg loss: 0.271
Epoch id: 3, Training steps: 12300, Avg loss: 0.281
Epoch id: 3, Training steps: 12400, Avg loss: 0.240
Epoch id: 3, Training steps: 12500, Avg loss: 0.284
Epoch id: 3, Training steps: 12600, Avg loss: 0.251
Epoch id: 3, Training steps: 12700, Avg loss: 0.258
Epoch id: 3, Training steps: 12800, Avg loss: 0.239
Epoch id: 3, Training steps: 12900, Avg loss: 0.233
Epoch id: 3, Training steps: 13000, Avg loss: 0.226
Epoch id: 3, Training steps: 13100, Avg loss: 0.234
Epoch id: 3, Training steps: 13200, Avg loss: 0.225
Epoch id: 3, Training steps: 13300, Avg loss: 0.227
Epoch id: 3, Training steps: 13400, Avg loss: 0.225
Epoch id: 3, Training steps: 13500, Avg loss: 0.246
Epoch id: 3, Training steps: 13600, Avg loss: 0.257
Epoch id: 3, Training steps: 13700, Avg loss: 0.213
Epoch id: 3, Training steps: 13800, Avg loss: 0.234
Epoch id: 3, Training steps: 13900, Avg loss: 0.227
Epoch id: 3, Training steps: 14000, Avg loss: 0.214
Epoch id: 3, Training steps: 14100, Avg loss: 0.228
Epoch id: 3, Training steps: 14200, Avg loss: 0.212
Epoch id: 3, Training steps: 14300, Avg loss: 0.234
Epoch id: 3, Training steps: 14400, Avg loss: 0.226
Epoch id: 3, Training steps: 14500, Avg loss: 0.223
Acc. (Correct/Total): 0.9264 (53887/58171) 
 30%|███       | 3/10 [4:51:25<11:19:59, 5828.46s/it]Epoch id: 4, Training steps: 100, Avg loss: 0.325
Epoch id: 4, Training steps: 200, Avg loss: 0.214
Epoch id: 4, Training steps: 300, Avg loss: 0.241
Epoch id: 4, Training steps: 400, Avg loss: 0.204
Epoch id: 4, Training steps: 500, Avg loss: 0.239
Epoch id: 4, Training steps: 600, Avg loss: 0.209
Epoch id: 4, Training steps: 700, Avg loss: 0.212
Epoch id: 4, Training steps: 800, Avg loss: 0.212
Epoch id: 4, Training steps: 900, Avg loss: 0.217
Epoch id: 4, Training steps: 1000, Avg loss: 0.231
Epoch id: 4, Training steps: 1100, Avg loss: 0.189
Epoch id: 4, Training steps: 1200, Avg loss: 0.203
Epoch id: 4, Training steps: 1300, Avg loss: 0.203
Epoch id: 4, Training steps: 1400, Avg loss: 0.203
Epoch id: 4, Training steps: 1500, Avg loss: 0.213
Epoch id: 4, Training steps: 1600, Avg loss: 0.200
Epoch id: 4, Training steps: 1700, Avg loss: 0.200
Epoch id: 4, Training steps: 1800, Avg loss: 0.194
Epoch id: 4, Training steps: 1900, Avg loss: 0.202
Epoch id: 4, Training steps: 2000, Avg loss: 0.196
Epoch id: 4, Training steps: 2100, Avg loss: 0.209
Epoch id: 4, Training steps: 2200, Avg loss: 0.176
Epoch id: 4, Training steps: 2300, Avg loss: 0.192
Epoch id: 4, Training steps: 2400, Avg loss: 0.219
Epoch id: 4, Training steps: 2500, Avg loss: 0.183
Epoch id: 4, Training steps: 2600, Avg loss: 0.197
Epoch id: 4, Training steps: 2700, Avg loss: 0.197
Epoch id: 4, Training steps: 2800, Avg loss: 0.193
Epoch id: 4, Training steps: 2900, Avg loss: 0.192
Epoch id: 4, Training steps: 3000, Avg loss: 0.212
